,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Latvia,0.5889026417307965,0.09521101157305864,0.06571639069713656,0.011644503401619686,0.14040972737300203,0.009647150322899522,0.07066215298668085,0.0016500407096928047,0.008509841152337546,0.004990514257914474,0.0026560257948614885
Lithuania,0.3845290723106101,0.06181446677302228,0.10385156238973672,0.09979373159005267,0.21643471539887538,0.013240935187765738,0.030674497244571133,0.07878646622982977,0.005891259700323144,0.002352117450195543,0.0026311757250175767
Luxembourg,0.40013417491393727,6.04003880555197e-07,0.027016980220635225,0.1914214741666588,0.3402337199955581,0.0032147927759499442,0.018425601641525662,0.010237569216866643,0.003509019685569911,0.00337949862630541,0.0024265647531123325
Hungary,0.17188993097479208,0.015130057438223947,0.14999744342685575,0.10451000545267992,0.028592182087343515,0.030684986518266115,0.131352912179692,0.36408885566279015,0.0034270561165294306,8.909502958466287e-05,0.0002374751132425845
Malta,0.22060789772167333,0.1500484353064704,0.18319293124325947,0.2951382733107936,0.0012336800465491066,0.081219256950012,0.019570649769485356,0.04221678258192084,0.0022615425130579946,0.004337823505206727,0.00017272705157119075
Netherlands,0.12066590181651551,0.08726502274757607,0.008099298037641424,0.01624087595793324,0.165710715153398,0.08686297735405116,0.036100896799047544,0.4513741385995558,0.00011067887152613417,0.011368724668389917,0.01620076999436527
Austria,1.860525227777139e-05,0.015024247876906503,0.6770001074107745,0.06381327258573277,0.009275187888390983,0.008318291342337815,0.2261373720285471,0.0003994410838172494,4.726707757948062e-06,4.774306033210056e-06,3.973517424000118e-06
Poland,0.28109059967453054,0.011102861443408465,0.002266783777678672,0.024467913156242877,0.008644543358755762,0.5921768757174835,0.0067727605489132404,0.029233518827866605,0.012578220698101866,0.022741208298194086,0.00892471449882471
Portugal,0.00015641189596288954,0.3170402944445428,0.03160397478685104,0.10401215169471965,0.04942206379719284,0.4199618034277057,0.0012827589428530053,0.07248855336825145,0.0034156781188461175,0.0006044110887480379,1.1898434326395963e-05
Romania,0.004599309717629944,0.16174648830512825,0.3331964723667254,0.012554367531485726,0.37811067611042676,0.03221722131012248,0.03086802805005577,0.0016529662938123114,0.033437941225022604,0.0011920777493780235,0.010424451340212693
Slovenia,0.3599065964921335,0.12636787286063547,0.00022442362160372437,0.23107710266944761,0.017634697588028818,0.05171137040473731,0.08923369110269612,0.10620740208534792,0.00017341042789227235,0.01734834981237978,0.00011508293509741447
Slovakia,0.5697217481833289,0.02721874682269289,0.0001292368700687153,0.0324669631442869,0.24186928690726364,0.046663385918172526,0.03179245950637379,0.04904629025228703,0.0005535778116494082,9.278399022764884e-05,0.00044552059364854355
Finland,0.42081967913470103,0.0069582078929273814,0.03504936270356634,0.24307211752642666,0.042569632763271636,0.0428000381991752,0.01421295399866774,0.18560876148591338,0.003648308239399244,4.710107868871205e-06,0.005256227948082445
Sweden,0.0716675002765674,0.04594645548262063,0.12518151797321503,4.918275526873695e-06,0.6188721935008942,0.04864664566358168,0.08275549775314046,0.0015849711695950384,0.0009555532660670004,0.004195255631140039,0.0001894910076515
