,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Lithuania,-0.7368735690145715,0.4467711730193795,-0.6527693090454694,-0.7277513782308802,-1.2198198168244112,-0.3485617182909381,0.5914817571742929,0.9972827137762585,0.507738910891944,0.5875907602173243,0.8946703095438198
Luxembourg,-0.7367347823012366,-0.001368799716268073,-0.32632592265763255,-0.9878856931229097,1.4989973425454557,0.16833592593020796,0.4493072524975297,0.3523472354505553,-0.38406897626165776,-0.6903217476001648,0.8421006509564091
Hungary,-0.3999082133175322,-0.17941844334140922,0.6367982402401665,0.6045288850411982,-0.359884042767782,-0.4307150455374844,-0.9935259085544087,-1.740214927282635,-0.3143429230623744,0.09282798222054749,-0.21817443813402204
Malta,-0.6594163427940828,-0.8223876971025065,1.02430278888267,-1.4786485468076334,0.10880636044730274,-1.0199306743226455,-0.5581822727079246,0.8624935099672668,-0.3716717312797099,-0.9427622500660147,0.2708251968724591
Netherlands,-0.24534333497556532,-0.3155104708879518,-0.10835039377694516,-0.17449770679506882,0.6343969896890903,0.5306293985159921,-0.38138641282771946,-1.418777886207814,0.0413639798919872,-0.76781205114275,1.3195003821243931
Austria,0.011131922468544997,0.4783661627171832,3.619691692309475,1.2638947690265143,0.5484254295879272,0.6000140553947683,3.4878901660455544,-0.15422076338930854,0.03123487277669646,0.05749427279603199,-0.07550916390888987
Poland,0.5476661544462612,0.16459699129944652,0.08383446755463207,-0.3132522673095267,-0.21191788202643483,-2.0263312059398477,-0.2416016194249758,-0.5280771552719636,-0.6449266464284793,-1.5882416348546011,1.4323515316219273
Portugal,-0.02033504799768808,-1.3844562421941324,-0.49272657441191403,-1.0166123197102246,0.7975806057277482,2.6860072258143584,0.16550345938898897,1.308907992227297,-0.5290013187054494,0.40756191144601217,0.0823218136414552
Romania,0.09858608277754868,0.884093919678273,-1.4303565234929279,0.31576916475832423,-1.9723436561359868,0.6651280936525223,0.7258518107665825,-0.17671172776847105,1.4797795524825306,0.5117273636027121,-2.178490122987671
Slovenia,-0.5042761868434399,-0.451859674618251,0.021465087394480498,0.783348525047545,-0.24629829189541258,0.4872575189290435,-0.7136121315237615,0.8190587255906955,-0.06161963706720878,1.128807039879439,0.13235450588243053
Slovakia,-0.6367565770031454,0.2104688335476646,-0.01634782864987862,0.2946903338069012,-0.9154533900580327,-0.4645389494617173,-0.42749234516778634,-0.5586106531896963,0.1104941669106567,0.08285059471328914,0.2613579056996902
Finland,-0.6283159565566603,0.12217728203396988,-0.3090971156236667,-0.9257647860583487,-0.44094442425756086,-0.5107920343836244,0.3281681906806502,1.2476517973869539,0.32567453736440594,-0.02143199317590267,1.0306871783670224
Sweden,-0.2980102381632929,0.3608342501416166,-0.6713747194141274,0.0047860749996461545,-1.9322992083500874,0.6258762546803545,0.9101075612319501,-0.132508833592193,-0.19156028786941262,-0.7351337094225171,-0.22491792491891271
Iceland,-0.7955472505070101,1.9227616756877826,-1.8191020543146952,1.283775801515099,3.476886437626783,-1.0256706708322236,0.48986281073436805,0.39733395532080845,0.8246963828171179,-0.027075899807354396,-1.1094873316808347
Norway,-0.4231629017881156,0.15073395698181558,-0.2986536085043226,-0.34316700417597223,-0.8804493101781494,-0.4723813782921954,0.4543933672970408,0.3284310072996235,-1.0435210552603518,-2.069392091979066,-1.1912753406934944
Serbia,-0.45059681069073493,-0.17687676997275797,-0.34892605165071316,-0.5630463047150275,-0.5167770241019939,0.2857145821559914,0.173079439718982,0.3094465719250933,0.277226241280568,0.2898762073771081,0.3142113661351515
Türkiye,2.101438575092664,3.7996019918913335,1.4075755383817568,-1.5669364514497333,0.0753170239461597,1.3163741973754626,-1.8626093125175176,0.4424460121162407,-0.3918895842729929,0.1759817183834229,-0.06206593157699136
